# Presidential elections, every fourth year from 1788. The winner and party are canon (the
# president inaugurated the following year); the popular-vote shares are inferred placeholders.
# results: party share|party share|... with the winner first.
year,winner,party,results,note,source
1932,Faisal ar-Rashid,Islah,Islah 54.0|Asalah 42.9|Other 3.1,,winner canon; vote shares inferred
1936,Faisal ar-Rashid,Islah,Islah 57.4|Asalah 41.4|Other 1.2,,winner canon; vote shares inferred
1940,Faisal ar-Rashid,Islah,Islah 53.5|Asalah 42.7|Other 3.8,,winner canon; vote shares inferred
1944,Faisal ar-Rashid,Islah,Islah 59.5|Asalah 36.7|Other 3.8,fourth term; died in office 1945,winner canon; vote shares inferred
1948,Mansur al-Zahrani,Islah,Islah 53.7|Asalah 42.1|Other 4.2,,winner canon; vote shares inferred
1952,Umar Haddad,Asalah,Asalah 53.9|Islah 43.6|Other 2.5,,winner canon; vote shares inferred
1956,Umar Haddad,Asalah,Asalah 50.3|Islah 47.0|Other 2.7,,winner canon; vote shares inferred
1960,Karim al-Sudairi,Islah,Islah 57.7|Asalah 41.0|Other 1.3,,winner canon; vote shares inferred
1964,Ghalib al-Ifranji,Islah,Islah 57.4|Asalah 38.6|Other 4.0,,winner canon; vote shares inferred
1968,Ghalib al-Ifranji,Islah,Islah 52.1|Asalah 45.9|Other 2.0,,winner canon; vote shares inferred
1972,Rafiq al-Anazi,Asalah,Asalah 56.3|Islah 39.8|Other 3.9,,winner canon; vote shares inferred
1976,Salman al-Ahsa'i,Islah,Islah 51.9|Asalah 46.7|Other 1.4,,winner canon; vote shares inferred
1980,Badr al-Qahtani,Asalah,Asalah 50.3|Islah 48.9|Other 0.8,,winner canon; vote shares inferred
1984,Badr al-Qahtani,Asalah,Asalah 52.1|Islah 46.6|Other 1.3,,winner canon; vote shares inferred
1988,Hamid al-Otaibi,Asalah,Asalah 61.1|Islah 37.1|Other 1.8,,winner canon; vote shares inferred
1992,Zayd al-Munajjid,Islah,Islah 56.5|Asalah 40.3|Other 3.2,,winner canon; vote shares inferred
1996,Zayd al-Munajjid,Islah,Islah 52.8|Asalah 43.4|Other 3.8,,winner canon; vote shares inferred
2000,Mishal al-Otaibi,Asalah,Asalah 60.1|Islah 36.0|Other 3.9,,winner canon; vote shares inferred
2004,Mishal al-Otaibi,Asalah,Asalah 50.2|Islah 46.9|Other 2.9,,winner canon; vote shares inferred
2008,Hakim al-Ifranji,Islah,Islah 60.8|Asalah 35.3|Other 3.9,,winner canon; vote shares inferred
2012,Hakim al-Ifranji,Islah,Islah 56.6|Asalah 40.6|Other 2.8,,winner canon; vote shares inferred
2016,Khalaf al-Mutayri,Asalah,Asalah 53.2|Islah 42.8|Other 4.0,,winner canon; vote shares inferred
2020,Sulayman al-Awwad,Islah,Islah 58.3|Asalah 37.2|Other 4.5,,winner canon; vote shares inferred
2024,Munira al-Bahrani,Islah,Islah 61.3|Asalah 37.5|Other 1.2,,winner canon; vote shares inferred
