# Regions: the building blocks every border is made of. Each grows from its seed point over
# the cell mesh (see cgvideo/mesh.py) and stops more readily at rivers and custom lines.
# A region should be the smallest piece that ever changes hands on its own. To split one,
# add a row with a new seed; to move a frontier precisely, draw data/overrides.geojson.
# weight > 1 lets a region grow further before its neighbours claim the ground.
# modern_state is the state of the Union (or the neighbour) holding it in 2026: a reading aid.
region_id,name,lon,lat,weight,modern_state,notes
kirkuk,Kirkuk,44.3,35.3,0.9,Kurdistan,
tikrit,Tikrit and Samarra,43.7,34.5,1,Mesopotamia,
anbar,Anbar (Ramadi),42.4,33.6,1.2,Mesopotamia,
rutba,Rutba desert,40.4,32.9,1.3,Mesopotamia,
baghdad,Baghdad,44.4,33.3,1,Mesopotamia,
diyala,Diyala,45.1,34.0,0.9,Mesopotamia,
karbala,Karbala and Najaf,44.1,32.1,1,Mesopotamia,
najaf_desert,Najaf desert (Salman),44.4,30.8,1.2,Mesopotamia,
kut,Kut and Amarah,46.4,32.3,1,Mesopotamia,
nasiriyah,Nasiriyah and the marshes,46.4,31.1,1,Mesopotamia,
basra,Basra,47.6,30.55,0.9,Mesopotamia,
kuwait,Kuwait,47.8,29.3,1,Kuwait,
tabuk,Tabuk,36.6,28.4,1.1,Shammar,Shammar's largest city
jawf,Jawf (Dumat al-Jandal),39.9,29.8,1,Shammar,
arar,Arar steppe,41.6,30.8,1,Shammar,
hail,Ha'il (Jabal Shammar),41.7,27.5,1,Shammar,
nafud,Nafud,40.3,28.4,1,Shammar,
hafar,Hafar al-Batin,45.9,28.2,1,Sharqiyah,
qassim,Qassim (Buraydah),43.95,26.35,1,Najd,
ula,Al-Ula and Hegra,37.9,26.6,1,Hejaz,Hegra: second Nabataean capital
madinah,Madinah,39.6,24.5,1,Hejaz,
yanbu,Yanbu coast,38.1,24.1,0.8,Tihamah,Tihamah's capital
jeddah,Jeddah,39.2,21.6,0.7,Hejaz,first Red Sea Company settlement 1607
makkah_taif,Makkah and Ta'if,40.25,21.3,0.9,Hejaz,Umm al-Qura federal district lies here (drawn as a marker)
qunfudhah,Qunfudhah coast,41.1,19.2,0.8,Tihamah,
jizan,Jizan and Farasan,42.6,16.95,0.8,Tihamah,
abha,Abha (Asir),42.55,18.2,0.9,Asir,
bisha,Bisha,42.6,20.0,1,Asir,
najran,Najran,44.1,17.5,1,Aden,the Najran corridor
riyadh,Riyadh and Diriyah,46.7,24.7,1,Najd,
dawadmi,Dawadmi and Afif,43.9,24.3,1.1,Najd,
kharj,Kharj and Aflaj,46.8,22.6,1,Najd,
dawasir,Wadi ad-Dawasir,45.0,20.5,1.1,Najd,
ahsa,Al-Ahsa (Hofuf),49.5,25.35,1,Sharqiyah,
qatif,Qatif and Dammam,49.95,26.6,0.8,Sharqiyah,
jubail,Jubail coast,49.2,27.4,0.9,Sharqiyah,
bahrain,Bahrain,50.55,26.05,1,Sharqiyah,home-rule district
qatar,Qatar,51.2,25.3,1,Sharqiyah,home-rule district
rub_w,Western Rub' al-Khali,47.5,19.8,1.3,Najd,
rub_e,Eastern Rub' al-Khali,51.5,21.3,1.3,Sharqiyah,
rub_s,Southern Rub' al-Khali,50.0,18.3,1.2,Hadhramout,
abudhabi,Abu Dhabi,54.4,24.3,1,Magan,
liwa,Liwa,53.7,23.1,1,Magan,
dubai,Dubai and Sharjah,55.5,25.2,0.8,Magan,Magan Town (1626)
musandam,Musandam,56.2,26.1,0.7,Oman,
sohar,Batinah (Sohar),56.8,24.2,0.8,Oman,
nizwa,Nizwa (inner Oman),57.5,22.9,1,Oman,
muscat,Muscat,58.4,23.5,0.8,Oman,
sur,Sur (Ja'alan),59.3,22.3,0.9,Oman,pearl rush of 1848
wusta,Al-Wusta,56.7,20.3,1.2,Oman,
dhofar,Dhofar,54.0,17.3,1,Hadhramout,one of the eastern Omani districts
mahra,Mahra,51.8,16.3,1,Hadhramout,
seiyun,Wadi Hadhramawt,48.8,15.9,1,Hadhramout,
mukalla,Mukalla coast,49.1,14.6,0.9,Hadhramout,
shabwa,Shabwa,47.0,14.7,1,Hadhramout,
marib,Ma'rib,45.3,15.5,0.9,Aden,assignment inferred
saada,Sa'dah,43.8,16.9,0.9,Hodeidah,
sanaa,Sana'a,44.2,15.4,0.9,Hodeidah,
hudaydah,Hudaydah,43.0,14.9,0.9,Hodeidah,
taiz,Ta'izz,44.0,13.6,0.9,Aden,
aden,Aden and Lahij,45.0,13.0,0.9,Aden,
abyan,Abyan and Bayda,45.8,13.9,0.9,Aden,
socotra,Socotra,53.9,12.5,1,Socotra,
baku,Absheron (Baku),49.8,40.4,1,Adharbaijan,
shamakhi,Shirvan (Shamakhi),48.6,40.7,1,Adharbaijan,
ganja,Ganja,46.3,40.7,1,Adharbaijan,
lankaran,Lankaran,48.7,39.0,1,Adharbaijan,
kartli,Kartli,44.0,41.8,1,(Kartli),Caucasus = the Caribbean
armenia,Armenia,44.7,40.2,1,(Armenia),
dagestan,Dagestan,47.0,42.4,1,(Dagestan),
comoros,Qumur (Comoros),43.35,-11.7,1,Qumur,inset
cyprus,Qubrus (Cyprus),33.2,35.0,1,(Qubrus),Qubrus = Greenland
anatolia_c,Central Anatolia,33.5,38.7,1.3,(Zagrosia),
aegean,Aegean Anatolia,28.3,38.6,1,(Zagrosia),
adana,Cilicia,35.4,37.1,1,(Zagrosia),
anatolia_se,Diyarbakir,40.2,38.0,1,(Zagrosia),
van,Van,43.4,38.6,1,(Zagrosia),
erzurum,Erzurum,41.3,39.9,1,(Zagrosia),
trabzon,Pontus,39.7,40.8,1,(Zagrosia),
tabriz,Tabriz,46.3,38.1,1,(Zagrosia),
kermanshah,Kermanshah,47.1,34.3,1,(Zagrosia),
hamadan,Hamadan,48.5,34.8,1,(Zagrosia),
tehran,Tehran,51.4,35.7,1,(Zagrosia),
gilan,Gilan and Mazandaran,50.5,36.9,1,(Zagrosia),
khuzestan,Khuzestan,48.7,31.3,1,(Zagrosia),
isfahan,Isfahan,51.7,32.7,1.2,(Zagrosia),
fars,Fars (Shiraz),52.5,29.6,1.2,(Zagrosia),
kerman,Kerman,57.1,30.3,1.3,(Zagrosia),
hormozgan,Hormozgan (Bandar Abbas),56.3,27.2,1,(Zagrosia),
yazd,Yazd,54.4,31.9,1.2,(Zagrosia),
khorasan,Khorasan,58.5,34.5,1.3,(Zagrosia),
makran,Makran,60.5,26.5,1.2,(Zagrosia),
cairo,Cairo and the Delta,31.2,30.4,1,(Masr),
sinai,Sinai,33.8,29.6,1,(Masr),
eastern_desert,Eastern Desert,33.2,26.5,1.2,(Masr),
upper_egypt,Upper Egypt (Aswan),32.5,24.0,1.2,(Masr),
western_desert,Western Desert,30.5,27.5,1.3,(Masr),
sudan_n,Nubia,33.0,20.0,1.3,(Sudan),
khartoum,Khartoum,32.8,15.8,1.2,(Sudan),
eritrea,Eritrea,38.9,15.4,1,(Eritrea),
ethiopia_n,Tigray and Gondar,38.3,13.1,1.1,(Ethiopia),
ethiopia_c,Shewa,38.8,9.3,1.2,(Ethiopia),
afar,Afar,41.0,12.0,1,(Ethiopia),
djibouti,Djibouti,42.6,11.7,0.8,(Djibouti),
somaliland,Berbera coast,45.0,10.0,1,(Barbaria),Berbera Naval Station
puntland,Puntland,49.0,9.5,1.1,(Barbaria),
aeg_islands,Crete and the Aegean,24.9,35.3,1,(outside),edge filler: unclaimed
greece,Greece,22.2,39.3,1,(outside),edge filler: unclaimed
thrace,Thrace,26.5,41.6,1,(outside),edge filler: unclaimed
ciscaucasia,Ciscaucasia,44.0,44.0,1,(outside),edge filler: unclaimed
ustyurt,Ustyurt,56.0,43.3,1,(outside),edge filler: unclaimed
turkmen,Karakum,59.5,39.0,1,(outside),edge filler: unclaimed
transoxiana,Transoxiana,65.0,40.5,1,(outside),edge filler: unclaimed
afghan,Afghanistan,65.5,33.5,1.3,(Ethiopia),carries Siberia's history
baluch,Balochistan,65.5,28.0,1,(outside),edge filler: unclaimed
cyrenaica,Cyrenaica,22.0,31.0,1,(outside),edge filler: unclaimed
libyan_desert,Libyan Desert,23.0,25.0,1,(outside),edge filler: unclaimed
ennedi,Ennedi,21.5,17.0,1,(outside),edge filler: unclaimed
darfur,Darfur,24.0,13.0,1,(outside),edge filler: unclaimed
kordofan,Kordofan,29.5,12.5,1,(outside),edge filler: unclaimed
upper_nile,Upper Nile,31.0,8.0,1,(outside),edge filler: unclaimed
ethiopia_s,Southern Ethiopia,38.5,6.5,1,(outside),edge filler: unclaimed
ogaden,Ogaden,44.5,6.8,1,(outside),edge filler: unclaimed
