# Heads of state shown in the infobox. start/end inclusive; the new holder takes the handover year.
# portrait: pres-N draws the encyclopedia's own SVG portrait; any other key is drawn procedurally
# unless assets/portraits/<key>.png exists (your own art, e.g. painted in GIMP).
start,end,polity,title,name,party,portrait,note,source
1921,1922,usa,28th President,Sami al-Duwaish,Asalah,pres-28,“Return to normality”; died in office amid the Jabal Naft scandal,canon: united-states-of-arabia
1923,1928,usa,29th President,Nayif al-Suhaymi,Asalah,pres-29,"Silent Nayif; tax cuts, tariffs and the boom",canon: united-states-of-arabia
1929,1932,usa,30th President,Riyad al-Qusaybi,Asalah,pres-30,Mining engineer and relief administrator; the Crash and the Depression,canon: united-states-of-arabia
1933,1944,usa,31st President,Faisal ar-Rashid,Islah,pres-31,The New Awakening; four terms; Second World War; died in office,canon: united-states-of-arabia
1945,1952,usa,32nd President,Mansur al-Zahrani,Islah,pres-32,The atomic decision; the Recovery Programme; the Bornean War,canon: united-states-of-arabia
1953,1960,usa,33rd President,Umar Haddad,Asalah,pres-33,Interstate highway system; Adharbaijan and Qumur statehood; warned of the arms industry,canon: united-states-of-arabia
1961,1962,usa,34th President,Karim al-Sudairi,Islah,pres-34,The Kartli Missile Crisis; the Moon pledge; assassinated at Basra,canon: united-states-of-arabia
1963,1964,usa,35th President,Ziyad al-Mutlaq,Islah,pres-35,Completed the assassinated term; the Basra Commission; declined to stand,canon: united-states-of-arabia
1965,1972,usa,36th President,Ghalib al-Ifranji,Islah,pres-36,Thirty-First Amendment; Voting Rights Act; the Moon landing; the Sulawesi War,canon: united-states-of-arabia
1973,1975,usa,37th President,Rafiq al-Anazi,Asalah,pres-37,Opening to Nusantara; the Basra Hotel scandal; resigned the office,canon: united-states-of-arabia
1976,1976,usa,38th President,Tawfiq al-Barrak,Asalah,pres-38,The only president never elected to either office; issued the pardon,canon: united-states-of-arabia
1977,1980,usa,39th President,Salman al-Ahsa'i,Islah,pres-39,The Aqaba accords; the energy programme; the Adharbaijan hostage crisis,canon: united-states-of-arabia
1981,1988,usa,40th President,Badr al-Qahtani,Asalah,pres-40,Market liberalisation; the military build-up; the beginning of the Derg thaw,canon: united-states-of-arabia
1989,1992,usa,41st President,Hamid al-Otaibi,Asalah,pres-41,The Kongo reunification; the Gulf coalition war; the end of the Cold War,canon: united-states-of-arabia
1993,2000,usa,42nd President,Zayd al-Munajjid,Islah,pres-42,The long expansion; welfare reform; impeached and acquitted,canon: united-states-of-arabia
2001,2008,usa,43rd President,Mishal al-Otaibi,Asalah,pres-43,11 September; the War on Terror; the financial crisis,canon: united-states-of-arabia
2009,2016,usa,44th President,Hakim al-Ifranji,Islah,pres-44,First president of mixed European and Arabian parentage; born in Qumur; health coverage,canon: united-states-of-arabia
2017,2020,usa,45th President,Khalaf al-Mutayri,Asalah,pres-45,Tariffs and border walls; the first impeachment of a first-term president,canon: united-states-of-arabia
2021,2024,usa,46th President,Sulayman al-Awwad,Islah,pres-46,Pandemic recovery; the infrastructure and climate statutes,canon: united-states-of-arabia
2025,2026,usa,47th President,Munira al-Bahrani,Islah,pres-47,Incumbent; Green Arabia acceleration; the Nusantara trade framework,canon: united-states-of-arabia
