# Every polity that holds a region at some point.
# parent: a state or colony rolls up to its union or empire on the map. Children with no
#         colour of their own take the parent's; the map draws thin lines between siblings
#         and the thick frontier around the parent, and labels the parent large.
# kind:   union, state, territory, protectorate, colony, empire, kingdom, city, league,
#         caliphate, imamate, confederation, republic, company. territory and protectorate
#         are drawn lighter than their parent; confederation is drawn hatched.
# source: canon = stated in the encyclopedia (page named); inferred = placeholder filled by
#         analogy with the history the region carries. Every inferred row is open to canon.
polity_id,name,name_ar,short,color,parent,kind,analogue,source,notes
prot_kartli,Kartli (protectorate),كارتلي,Kartli,,usa,protectorate,Cuba 1898-1902,inferred,canon: Caucasus protectorates from 1898
prot_caucasus,Caucasus protectorates,محميات القوقاز,Caucasus protectorates,,usa,protectorate,Philippines and Puerto Rico,inferred,canon: Caucasus protectorates from 1898
isa,Islamic States of Arabia,الولايات الإسلامية العربية,ISLAMIC STATES OF ARABIA,#c4705f,,union,Confederate States,canon: history (eleven states; capital Riyadh),
sharqiyah_rep,Republic of Sharqiyah,جمهورية الشرقية,REPUBLIC OF SHARQIYAH,#d49a4a,,republic,Republic of Texas,canon: history 1836-1845,
hindustan,Hindustani Empire,الإمبراطورية الهندستانية,HINDUSTANI EMPIRE,#f3a6ad,,empire,British Empire,canon,
col_hejaz,Hejaz,الحجاز,Hejaz,,hindustan,colony,Virginia,canon: Red Sea Company 1607,
col_tihamah,Tihamah,تهامة,Tihamah,,hindustan,colony,Rhode Island,inferred founding dates,
col_asir,Asir,عسير,Asir,,hindustan,colony,New Jersey,inferred founding dates,
col_phoenicia,Phoenicia,فينيقيا,Phoenicia,,hindustan,colony,Massachusetts,inferred founding dates,
col_lebanon,Lebanon,لبنان,Lebanon,,hindustan,colony,Connecticut,inferred founding dates,
col_palestine,Palestine,فلسطين,Palestine,,hindustan,colony,Pennsylvania,inferred founding dates,
col_damascus,Damascus,دمشق,Damascus,,hindustan,colony,New Hampshire,inferred founding dates,
col_aleppo,Aleppo,حلب,Aleppo,,hindustan,colony,North Carolina,inferred founding dates,
col_jordan,Jordan,الأردن,Jordan,,hindustan,colony,Delaware,inferred founding dates,
col_aden,Aden,عدن,Aden,,hindustan,colony,Maryland,inferred founding dates,
col_hodeidah,Hodeidah,الحديدة,Hodeidah,,hindustan,colony,South Carolina,inferred founding dates,
col_hadhramout,Hadhramout,حضرموت,Hadhramout,,hindustan,colony,Georgia,inferred founding dates,
col_najd,Najd,نجد,Najd,,hindustan,colony,New York,canon: chartered 1732,
hind_reserve,Hindustani reserve,محمية هندستانية,Hindustani reserve,,hindustan,territory,Indian Reserve of 1763,inferred,west bank of the Euphrates 1763-1782
hind_zagrosia,Zagrosia (Hindustani),زاغروسيا,Zagrosia,,hindustan,colony,British North America,inferred,
kong,Kong,كونغ,KONG,#93c9ea,,empire,France,canon: Euphrates posts; Kong-Mesopotamie,Anatolia (New France analogue) inferred
kaabu,Kaabu,كابو,KAABU,#86c8a8,,empire,Portugal,canon: factories at Socotra and Muscat from 1498,
jolof,Jolof,جولوف,JOLOF,#e8913f,,empire,Spain,canon: Red Sea claim 1507; Magan to 1821,Mesopotamia 1763-1800 and the Caucasus inferred
duala,Duala Company of Kamerun,شركة دوالا,DUALA COMPANY,#c39ad4,,company,Dutch West India Company,canon: Magan 1626,
hassaniya,Hassaniya colony,مستعمرة الحسانية,HASSANIYA,#d9b98e,,colony,New Sweden,canon: 1638; absorbed within twenty years,
masr,Masr,مصر,MASR,#8fbf6f,,kingdom,Mexico,canon: native kings after 460 BCE; war of 1846-1848,
masr_vice,Viceroyalty of Masr,نيابة مصر,VICEROYALTY OF MASR,#b5c46a,,colony,New Spain,inferred,canon names the viceroyalty in 1811
zagros_pr,Zagros principalities,إمارات زاغروس,ZAGROS PRINCIPALITIES,#c9b79c,,confederation,,canon: timeline (after 460 BCE),
zagrosia,Zagrosia,زاغروسيا,ZAGROSIA,#d9665b,,union,Canada,canon; confederation date inferred (1867),
qubrus,Qubrus,قبرص,QUBRUS,#a8c7b8,,kingdom,Greenland,canon (self-governing island),
abyssinia,Abyssinian Empire,الإمبراطورية الحبشية,ABYSSINIA,#9aa58a,,empire,Russia,canon: sold Adharbaijan 1867,
derg,Derg Union,اتحاد الدرغ,DERG UNION,#b8423a,,union,Soviet Union,canon: dissolved 26 December 1991,
ethiopia,Ethiopia,إثيوبيا,ETHIOPIA,#9aa58a,,republic,Russian Federation,canon: Africa atlas,
eritrea_s,Eritrea,إريتريا,ERITREA,#7fb3a3,,republic,Estonia,canon: Africa atlas,
djibouti_s,Djibouti,جيبوتي,DJIBOUTI,#c9a0c0,,republic,Latvia,canon: Africa atlas,
sudan,Sudan,السودان,SUDAN,#c7b37a,,kingdom,Belarus,canon: Africa atlas,
barbaria,Barbaria,بربريا,BARBARIA,#d7c36a,,kingdom,Ukraine,canon: Berbera on the Barbarian coast,
caucasian_pr,Caucasian principalities,إمارات القوقاز,CAUCASIAN PRINCIPALITIES,#bfb2a0,,confederation,,inferred,
kartli_s,Kartli,كارتلي,KARTLI,#7da37a,,republic,Cuba,canon: Kartli Missile Crisis 1962,
armenia_s,Armenia,أرمينيا,ARMENIA,#c79a6b,,republic,Philippines,inferred,
qumur_sultanates,Sultanates of Qumur,سلطنات القمر,QUMUR,#b7a3c9,,kingdom,Kingdom of Hawaii,canon: Queen Halima deposed 1893,
achaemenid,Achaemenid Empire,الإمبراطورية الأخمينية,ACHAEMENID EMPIRE,#c8a06a,,empire,,canon: real history to 460 BCE,
babylon,Babylon,بابل,BABYLON,#d8b98a,,city,,canon: temple-city after 460 BCE,
levant_cities,Levantine city-states,مدن الشام,LEVANTINE CITIES,#b9a5c9,,city,,inferred,
aram,Aramaean principalities,إمارات آرامية,ARAM,#a9b99a,,confederation,,inferred,
damascus_c,Damascus,دمشق,DAMASCUS,#c9b089,,city,,canon: admits a Nabataean governor 312 BCE,
lihyan,Lihyan,لحيان,LIHYAN,#b08f6f,,kingdom,,canon: Dedan settlement,
tayma,Tayma,تيماء,TAYMA,#c2a07e,,city,,canon: oasis city,
duma,Duma,دومة,DUMA,#bf9f7d,,city,,canon: oasis city,
dilmun,Dilmun,دلمون,DILMUN,#9fc2b8,,kingdom,,canon,
gerrha,Gerrha,الجرهاء,GERRHA,#b3c59a,,city,,canon: annexed 188 BCE,
magan_k,Magan,مجان,MAGAN,#a7b88f,,kingdom,,canon: copper trade,
saba,Saba,سبأ,SABA,#d6955b,,kingdom,,canon,
main,Ma'in,معين,MA'IN,#c7a24d,,kingdom,,canon,
qataban,Qataban,قتبان,QATABAN,#b9785a,,kingdom,,canon,
hadhramawt_k,Hadhramawt,حضرموت,HADHRAMAWT,#a8834f,,kingdom,,canon,
himyar,Himyar,حمير,HIMYAR,#b5543c,,kingdom,,canon: takes Najran 72 BCE,
nabataea,Nabataean Kingdom,المملكة النبطية,NABATAEAN KINGDOM,#b5654a,,kingdom,,canon: nabataean-unification,
nab_petra,Petra council,مجلس البتراء,PETRA,#c47a5d,,kingdom,,canon: War of the Two Capitals,
nab_hegra,Hegra council,مجلس الحجر,HEGRA,#9c4f3a,,kingdom,,canon: War of the Two Capitals,
petra_league,Petra League,حلف البتراء,PETRA LEAGUE,#c98a70,,league,,canon: 36 CE to the 3rd century,
hegra_league,Hegra League,حلف الحجر,HEGRA LEAGUE,#a8634f,,league,,canon: 36 CE,
ghassan,Ghassanids,الغساسنة,GHASSANIDS,#9d8fc0,,kingdom,,canon: successor,
lakhm,Lakhmids,المناذرة,LAKHMIDS,#8fb0c6,,kingdom,,canon: successor,
islam,Madinah,المدينة,MADINAH,#6f9f6f,,city,,canon: Islam emerges in the Hejaz,
rashidun,Rashidun Caliphate,الخلافة الراشدة,RASHIDUN CALIPHATE,#6f9f6f,,caliphate,,canon,
umayyad,Umayyad Caliphate,الخلافة الأموية,UMAYYAD CALIPHATE,#b7a86a,,caliphate,,canon,
abbasid,Abbasid Caliphate,الخلافة العباسية,ABBASID CALIPHATE,#8a8f99,,caliphate,,canon,
sharifate,Sharifate of Makkah,شرافة مكة,SHARIFATE,#f4d35e,,city,,canon,
dam_sultanate,Sultanate of Damascus,سلطنة دمشق,SULTANATE OF DAMASCUS,#b49ac4,,kingdom,Mamluk-type slave-soldier sultanate,inferred,canon: slave-soldier corps made their commanders sultans
iraq_emirates,Emirates of Iraq,إمارات العراق,EMIRATES OF IRAQ,#b6c0a0,,confederation,,inferred,
yemen_sultanates,Sultanates of the Yemen,سلطنات اليمن,YEMENI SULTANATES,#c99a7a,,confederation,,inferred,
hadhrami,Hadhrami sultanates,سلطنات حضرموت,HADHRAMI SULTANATES,#b89a74,,confederation,,inferred,
banu_khalid,Banu Khalid,بنو خالد,BANU KHALID,#ded6c4,,confederation,,canon: interregnum,
al_rashid,Al Rashid,آل رشيد,AL RASHID,#d8cfb8,,confederation,,canon: interregnum,
qawasim,Qawasim,القواسم,QAWASIM,#d3cab2,,confederation,,canon: interregnum,
zaydi,Zaydi Imamate,الإمامة الزيدية,ZAYDI IMAMATE,#cbbf9f,,imamate,,canon: interregnum,
ibadi,Ibadi Imamate,الإمامة الإباضية,IBADI IMAMATE,#c6bb9b,,imamate,,canon: interregnum,
